customer_name,address,latitude,longitude,weight,volume,priority
Bandra Linking Rd Store,Bandra West Mumbai,19.0596,72.8295,140,1.3,2
Andheri Lokhandwala,Andheri West Mumbai,19.1364,72.8296,90,0.8,1
Powai Hiranandani,Powai Mumbai,19.1176,72.9060,210,1.9,3
Dadar Market,Dadar West Mumbai,19.0178,72.8478,160,1.5,2
Lower Parel Phoenix,Lower Parel Mumbai,18.9960,72.8302,80,0.6,1
Thane Viviana Mall,Thane West Mumbai,19.2183,72.9781,260,2.4,4
Borivali National Park,Borivali East Mumbai,19.2307,72.8567,120,1.1,3
Malad Infiniti Mall,Malad West Mumbai,19.1860,72.8484,150,1.4,2
Chembur Diamond Garden,Chembur Mumbai,19.0626,72.8997,100,0.9,3
Vashi Inorbit Mall,Vashi Navi Mumbai,19.0760,72.9986,300,2.8,4
Kurla Phoenix Market,Kurla West Mumbai,19.0726,72.8845,110,1.0,2
Ghatkopar R City Mall,Ghatkopar West Mumbai,19.0860,72.9080,175,1.6,3
