customer_name,address,latitude,longitude,weight,volume,priority
Anand Sweets,Indiranagar 100ft Rd Bengaluru,12.9784,77.6408,130,1.1,2
Sapna Book House,Koramangala 5th Block Bengaluru,12.9345,77.6266,80,0.7,1
Big Bazaar HSR,HSR Layout Sector 1 Bengaluru,12.9081,77.6476,260,2.3,3
Adigas Jayanagar,Jayanagar 4th Block Bengaluru,12.9270,77.5830,150,1.4,2
Brigade Road Store,Brigade Rd Bengaluru,12.9719,77.6094,55,0.4,1
Mantri Mall,Malleshwaram Bengaluru,13.0070,77.5630,190,1.7,3
Esteem Mall Hebbal,Hebbal Bengaluru,13.0410,77.5910,210,2.0,4
Innovative Multiplex,Marathahalli Bengaluru,12.9560,77.7010,120,1.1,2
Infosys Gate 4,Electronic City Phase 1 Bengaluru,12.8480,77.6630,340,3.1,3
Yelahanka New Town,Yelahanka Bengaluru,13.0980,77.5940,100,0.9,4
Forum Mall BTM,BTM 2nd Stage Bengaluru,12.9120,77.6090,70,0.6,3
Orion Mall,Rajajinagar Bengaluru,12.9905,77.5550,180,1.6,2
